N_Queens,fitness,iterations,time_in_seconds
11,-0.0,10,0.765625
11,-0.0,10,0.78125
11,-0.0,10,0.75
11,-0.0,10,0.796875
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,20,1.5
11,-0.0,10,0.765625
11,-0.0,10,0.796875
11,-0.0,0,0.046875
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,20,1.484375
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,30,2.15625
11,-0.0,120,8.578125
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,10,0.78125
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.78125
11,-0.0,20,1.5
11,-0.0,10,0.765625
11,-0.0,370,26.046875
11,-0.0,10,0.78125
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,20,1.46875
11,-0.0,10,0.765625
11,-0.0,360,25.71875
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,30,2.15625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,60,4.28125
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,150,10.640625
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,50,3.59375
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,40,2.875
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,20,1.46875
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.875
11,-0.0,10,0.78125
11,-0.0,40,2.9375
11,-0.0,70,5.015625
11,-0.0,130,9.265625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,0,0.046875
11,-0.0,10,0.765625
11,-0.0,90,6.359375
11,-0.0,20,1.453125
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.765625
11,-0.0,20,1.46875
11,-0.0,10,0.765625
11,-0.0,10,0.75
11,-0.0,10,0.75
11,-0.0,10,0.765625
11,-0.0,10,0.75
