N_Queens,fitness,iterations,time_in_seconds
12,-0.0,10,0.8125
12,-0.0,10,0.84375
12,-0.0,10,0.8125
12,-0.0,10,0.828125
12,-0.0,20,1.59375
12,-0.0,10,0.859375
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,10,0.859375
12,-0.0,10,0.8125
12,-0.0,10,0.828125
12,-0.0,10,0.875
12,-0.0,20,1.578125
12,-0.0,10,0.796875
12,-0.0,60,4.703125
12,-0.0,10,0.828125
12,-0.0,10,0.84375
12,-0.0,10,0.859375
12,-0.0,10,0.828125
12,-0.0,30,2.3125
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.828125
12,-0.0,60,4.59375
12,-0.0,120,8.984375
12,-0.0,10,0.8125
12,-0.0,210,15.671875
12,-0.0,120,9.0
12,-0.0,20,1.546875
12,-0.0,20,1.5625
12,-0.0,20,1.53125
12,-0.0,10,0.796875
12,-0.0,10,0.828125
12,-0.0,10,0.796875
12,-0.0,240,17.90625
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,100,7.484375
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,20,1.5625
12,-0.0,20,1.546875
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,130,9.8125
12,-0.0,10,0.796875
12,-0.0,50,3.796875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,40,3.03125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,30,2.296875
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,2810,209.125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,40,3.03125
12,-0.0,220,16.421875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,110,8.3125
12,-0.0,10,0.84375
12,-0.0,10,0.796875
12,-0.0,1020,78.109375
12,-0.0,10,0.828125
12,-0.0,190,14.578125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,50,3.75
12,-0.0,10,0.796875
12,-0.0,20,1.5625
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,40,3.046875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,20,1.53125
12,-0.0,40,3.03125
12,-0.0,60,4.53125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,150,11.171875
12,-0.0,10,0.796875
12,-0.0,120,8.953125
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,10,0.78125
12,-0.0,20,1.5625
12,-0.0,10,0.796875
12,-0.0,10,0.78125
12,-0.0,280,20.84375
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,290,21.609375
12,-0.0,70,5.265625
12,-0.0,10,0.8125
12,-0.0,20,1.546875
12,-0.0,10,0.78125
12,-0.0,310,23.125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,360,26.96875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,20,1.53125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.78125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,40,3.03125
12,-0.0,20,1.546875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,30,2.296875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,20,1.53125
12,-0.0,10,0.78125
12,-0.0,20,1.546875
12,-0.0,20,1.5625
12,-0.0,20,1.546875
12,-0.0,10,0.8125
12,-0.0,20,1.53125
12,-0.0,50,3.78125
12,-0.0,40,3.015625
12,-0.0,10,0.796875
12,-0.0,100,7.484375
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,0,0.0625
12,-0.0,30,2.3125
12,-0.0,10,0.796875
12,-0.0,60,4.515625
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.828125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,40,3.046875
12,-0.0,30,2.296875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,250,18.6875
12,-0.0,110,8.25
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.828125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,20,1.625
12,-0.0,10,0.828125
12,-0.0,100,7.515625
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,20,1.53125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,90,6.71875
12,-0.0,10,0.828125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,260,19.390625
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,60,4.59375
12,-0.0,10,0.828125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,20,1.640625
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,10,0.78125
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,40,3.03125
12,-0.0,10,0.8125
12,-0.0,10,0.828125
12,-0.0,10,0.84375
12,-0.0,110,8.28125
12,-0.0,0,0.0625
12,-0.0,30,2.3125
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,20,1.5625
12,-0.0,20,1.546875
12,-0.0,140,10.53125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,0,0.046875
12,-0.0,10,0.828125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,30,2.28125
12,-0.0,20,1.5625
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,40,3.015625
12,-0.0,10,0.8125
12,-0.0,110,8.234375
12,-0.0,20,1.53125
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.78125
12,-0.0,20,1.546875
12,-0.0,20,1.546875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,30,2.28125
12,-0.0,190,14.25
12,-0.0,20,1.546875
12,-0.0,30,2.296875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,20,1.5625
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,40,3.03125
12,-0.0,30,2.296875
12,-0.0,30,2.296875
12,-0.0,40,3.015625
12,-0.0,10,0.8125
12,-0.0,30,2.28125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,180,13.421875
12,-0.0,20,1.53125
12,-0.0,10,0.8125
12,-0.0,160,11.984375
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,200,14.953125
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.8125
12,-0.0,40,3.015625
12,-0.0,10,0.796875
12,-0.0,10,0.8125
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,30,2.296875
12,-0.0,10,0.8125
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.8125
12,-0.0,10,0.78125
12,-0.0,10,0.796875
12,-0.0,20,1.546875
12,-0.0,10,0.796875
12,-0.0,10,0.796875
12,-0.0,630,46.25
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,40,2.859375
12,-0.0,20,1.484375
12,-0.0,10,0.765625
12,-0.0,40,2.890625
12,-0.0,10,0.734375
12,-0.0,10,0.765625
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,20,1.484375
12,-0.0,10,0.75
12,-0.0,10,0.75
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,20,1.46875
12,-0.0,10,0.75
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,10,0.75
12,-0.0,40,2.890625
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,50,3.578125
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,10,0.765625
12,-0.0,10,0.75
12,-0.0,10,0.765625
12,-0.0,10,0.765625
