N_Queens,fitness,iterations,time_in_seconds
10,-0.0,10,0.6875
10,-0.0,10,0.734375
10,-0.0,40,2.625
10,-0.0,10,0.703125
10,-0.0,0,0.046875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,20,1.328125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,30,1.984375
10,-0.0,10,0.703125
10,-0.0,10,0.671875
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.71875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,20,1.328125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,0,0.046875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,0,0.046875
10,-0.0,10,0.71875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,20,1.34375
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,0,0.046875
10,-0.0,20,1.359375
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,0,0.046875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.734375
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,0,0.0625
10,-0.0,0,0.046875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.671875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,220,14.25
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,20,1.34375
10,-0.0,0,0.046875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,70,4.5625
10,-0.0,0,0.046875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.71875
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,0,0.0625
10,-0.0,0,0.03125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.6875
10,-0.0,10,0.703125
10,-0.0,10,0.6875
10,-0.0,10,0.71875
